AÑO,MES,CF,CF_FALLIDAS,RECHAZO_%
2022,ENERO,1459,184,12.62
2022,FEBRERO,1159,73,6.28
2022,MARZO,1319,108,8.15
2022,ABRIL,1201,96,7.98
2022,MAYO,1032,73,7.05
2022,JUNIO,1016,77,7.61
2022,JULIO,1024,50,4.84
2022,AGOSTO,1090,62,5.66
2022,SEPTIEMBRE,1192,112,9.4
2022,OCTUBRE,1304,112,8.61
2022,NOVIEMBRE,1497,88,5.88
2022,DICIEMBRE,1923,115,5.97
2023,ENERO,1408,86,6.12
2023,FEBRERO,1199,81,6.8
2023,MARZO,1389,120,8.61
2023,ABRIL,1317,97,7.4
2023,MAYO,1221,94,7.68
2023,JUNIO,1185,75,6.36
2023,JULIO,1390,86,6.21
2023,AGOSTO,1408,67,4.74
2023,SEPTIEMBRE,1362,72,5.3
2023,OCTUBRE,1652,116,7.02
2023,NOVIEMBRE,1938,117,6.06
2023,DICIEMBRE,1850,135,7.32
2024,ENERO,1199,65,5.41
2024,FEBRERO,1019,99,9.69
2024,MARZO,973,59,6.09
2024,ABRIL,888,44,4.93
2024,MAYO,837,52,6.27
2024,JUNIO,894,34,3.85
2024,JULIO,990,39,3.93
2024,AGOSTO,1012,47,4.66
2024,SEPTIEMBRE,961,37,3.83
2024,OCTUBRE,1133,54,4.73
2024,NOVIEMBRE,1223,46,3.75
2024,DICIEMBRE,1567,64,4.07
2025,ENERO,1158,59,5.06
2025,FEBRERO,868,51,5.9
2025,MARZO,900,57,6.39
2025,ABRIL,954,32,3.35
2025,MAYO,889,44,4.98
2025,JUNIO,793,36,4.59
2025,JULIO,888,34,3.85
2025,AGOSTO,966,46,4.73
2025,SEPTIEMBRE,1000,30,3.04
2025,OCTUBRE,1193,59,4.96
2025,NOVIEMBRE,1349,73,5.39
2025,DICIEMBRE,1589,69,4.36
